Bug_Number|Status|Product|Priority|Resolution|Severity|Is_Confirmed
14871|RESOLVED|Firefox|--|DUPLICATE|minor|True
19118|RESOLVED|Firefox|--|WONTFIX|enhancement|True
23207|NEW|Firefox|P5||enhancement|True
24278|NEW|Firefox|P3||normal|True
27493|NEW|Firefox|P3||normal|True
34763|RESOLVED|Firefox|P3|WONTFIX|enhancement|True
35507|NEW|Firefox|--||normal|True
38121|NEW|Firefox|P4||normal|True
38805|RESOLVED|Firefox|--|WONTFIX|enhancement|True
40098|NEW|Firefox|P3||normal|True
40106|NEW|Firefox|--||enhancement|True
40253|NEW|Firefox|--||enhancement|True
45441|NEW|Firefox|P3||normal|True
54461|NEW|Firefox|P4||normal|True
54746|REOPENED|Firefox|P3||normal|True
54940|NEW|Firefox|P3||normal|True
57342|NEW|Firefox|P1||enhancement|True
57420|NEW|Firefox|--||normal|True
58554|NEW|Firefox|--||enhancement|True
58777|ASSIGNED|Firefox|--||normal|True
59808|NEW|Firefox|P3||enhancement|True
59932|NEW|Firefox|--||enhancement|True
60446|NEW|Firefox|P5||enhancement|True
62253|NEW|Firefox|P3||enhancement|True
63047|NEW|Firefox|--||trivial|True
63798|NEW|Firefox|--||normal|True
64286|NEW|Firefox|--||enhancement|True
65770|NEW|Firefox|P3||critical|True
66313|NEW|Firefox|--||normal|True
66683|ASSIGNED|Firefox|--||normal|True
67178|NEW|Firefox|--||enhancement|True
68514|REOPENED|Firefox|P3||normal|True
68515|NEW|Firefox|P3||normal|True
69938|RESOLVED|Firefox|--|WONTFIX|normal|True
70501|NEW|Firefox|--||enhancement|True
71656|NEW|Firefox|--||enhancement|True
78436|NEW|Firefox|--||major|True
79889|RESOLVED|Firefox|--|WORKSFORME|normal|True
82860|NEW|Firefox|--||minor|True
83272|NEW|Firefox|--||normal|True
84340|NEW|Firefox|--||enhancement|True
84543|NEW|Firefox|--||normal|True
85125|NEW|Firefox|--||enhancement|True
87218|NEW|Firefox|P3||major|True
87594|NEW|Firefox|--||minor|True
88982|NEW|Firefox|--||enhancement|True
89794|NEW|Firefox|--||enhancement|True
90490|NEW|Firefox|--||normal|True
90918|NEW|Firefox|P4||enhancement|True
95091|NEW|Firefox|--||major|True
95828|RESOLVED|Firefox|--|WORKSFORME|normal|True
96146|NEW|Firefox|P5||major|True
96181|NEW|Firefox|--||enhancement|True
96831|NEW|Firefox|--||enhancement|True
97322|NEW|Firefox|--||major|True
97968|NEW|Firefox|--||enhancement|True
98009|NEW|Firefox|--||normal|True
99579|NEW|Firefox|--||major|True
100179|VERIFIED|Firefox|P3|WORKSFORME|normal|True
101326|NEW|Firefox|--||enhancement|True
101743|NEW|Firefox|--||enhancement|True
101851|NEW|Firefox|--||normal|True
102277|NEW|Firefox|--||enhancement|True
102352|REOPENED|Firefox|--||trivial|True
102380|NEW|Firefox|P5||minor|True
103258|NEW|Firefox|--||enhancement|True
103724|NEW|Firefox|--||minor|True
104024|NEW|Firefox|--||enhancement|True
104331|NEW|Firefox|P3||enhancement|True
105369|NEW|Firefox|--||enhancement|True
106074|NEW|Firefox|P3||enhancement|True
106075|NEW|Firefox|P3||enhancement|True
106076|NEW|Firefox|P3||enhancement|True
106077|NEW|Firefox|P3||enhancement|True
106078|NEW|Firefox|--||enhancement|True
106079|NEW|Firefox|P3||enhancement|True
106080|NEW|Firefox|--||enhancement|True
107959|NEW|Firefox|--||enhancement|True
108059|NEW|Firefox|--||enhancement|True
109768|NEW|Firefox|--||normal|True
110894|RESOLVED|Firefox|--|FIXED|enhancement|True
111563|NEW|Firefox|--||enhancement|True
112134|NEW|Firefox|--||minor|True
112482|ASSIGNED|Firefox|--||major|True
115041|NEW|Firefox|--||enhancement|True
115107|NEW|Firefox|--||minor|True
115207|ASSIGNED|Firefox|--||normal|True
115981|NEW|Firefox|--||enhancement|True
116951|ASSIGNED|Firefox|P3||normal|True
117394|NEW|Firefox|--||enhancement|True
117771|NEW|Firefox|--||enhancement|True
