Bug_Number,Summary,Platform,Component,Version,Creation_Time,Whiteboard,QA_Whiteboard,First_Comment_Text,First_Comment_Creation_Time,Status,Product,Priority,Resolution,Severity,Is_Confirmed,br_name,br_desc
1181835,Provide a UI for migrating users' add-ons to webextensions,Unspecified,Extension Compatibility,49 Branch,2015-07-08T23:01:45Z,[UX] triaged,,"We're still not exactly sure how this would work, but I think the basic idea is as follows. On startup, you would be shown a tab with a list of your add-ons. For each add-on, we would show its status:  - e10s compatible (doesn't use CPOWs at all) - e10s functional (works, uses CPOWs, probably will make Firefox slower) - broken with e10s  For each add-on not in the first category, we'd like to provide alternatives: - disable the add-on - upgrade to a beta version that works better - upgrade to a slightly different add-on (Firebug 2 -> Firebug 3 for example)  We would probably also show this UI whenever the status of an add-on changes (for example a disabled add-on being made e10s-compatible).",2015-07-08T23:01:45Z,RESOLVED,Firefox,P2,FIXED,normal,True,BR_1181835_SRC,"1181835 Provide a UI for migrating users' add-ons to webextensions Unspecified Extension Compatibility 49 Branch 2015-07-08T23:01:45Z [UX] triaged nan We're still not exactly sure how this would work, but I think the basic idea is as follows. On startup, you would be shown a tab with a list of your add-ons. For each add-on, we would show its status:  - e10s compatible (doesn't use CPOWs at all) - e10s functional (works, uses CPOWs, probably will make Firefox slower) - broken with e10s  For each add-on not in the first category, we'd like to provide alternatives: - disable the add-on - upgrade to a beta version that works better - upgrade to a slightly different add-on (Firebug 2 -> Firebug 3 for example)  We would probably also show this UI whenever the status of an add-on changes (for example a disabled add-on being made e10s-compatible). 2015-07-08T23:01:45Z RESOLVED Firefox P2 FIXED normal True BR_1181835_SRC"
1248267,"Right click on bookmark item of ""Recently Bookmarked"" should show regular places context menu",Unspecified,Bookmarks & History,48 Branch,2016-02-14T17:45:54Z,,,"Steps To Reproduce: 1. Open Bookmarks menu 2. Right click on bookmark item of ""last 5 Recently Bookmarked""  Actual Results: Open it in tab And Context menu has only 5 menu items  Expectedd Results: Should not open it in tab. Regular placescontext should pop up. i.e. Context menu should be 12 items",2016-02-14T17:45:54Z,VERIFIED,Firefox,P3,FIXED,normal,True,BR_1248267_SRC,"1248267 Right click on bookmark item of ""Recently Bookmarked"" should show regular places context menu Unspecified Bookmarks & History 48 Branch 2016-02-14T17:45:54Z nan nan Steps To Reproduce: 1. Open Bookmarks menu 2. Right click on bookmark item of ""last 5 Recently Bookmarked""  Actual Results: Open it in tab And Context menu has only 5 menu items  Expectedd Results: Should not open it in tab. Regular placescontext should pop up. i.e. Context menu should be 12 items 2016-02-14T17:45:54Z VERIFIED Firefox P3 FIXED normal True BR_1248267_SRC"
1248268,"Unable to disable ""Recently bookmarked""",All,Bookmarks & History,48 Branch,2016-02-14T17:54:44Z,,,"Created attachment 8719295 Firefox Nightly 47_0a1 Recently Bookmarked.png  User Agent: Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0 Build ID: 20160214030236  Steps to reproduce:  I did not do anything particular, my Nightly 47.0a1 just self-updated just right now and I just accepted to restart the browser to apply the updates.    Actual results:  After the browser restarted, I noticed that ""Recently bookmarked"" thing with several recently bookmarked bookmarks appeared in my bookmarks, occupying the top slots and wasting space.    Expected results:  The way to disable this thing as I don't need this.  I use Firefox few years already and never in my life have seen this thing before, until now, but the posts on Google shows it appeared in 2008 already, so I guess there has been already a way to disable it before and I had it disabled all the time until the newest Nightly appeared and somehow reactivated it (without my permission). But how to disable it again ?  I tried to disable it, but it seems that you can not turn this off, as I searched Google and most of the solutions were to delete it by clicking on it and selecting ""delete"" or by going to Library by clicking on ""Show all bookmarks"" or Ctrl + Shift + B and deleting ""Recently bookmarked"" folder but this does not work in the both cases - when I click on it, there is no ""delete"" option as there is when clicking on regular bookmarks, and in the second case there is no ""Recently bookmarked"" folder in Library.   There are the links I read after typing ""firefox delete recently bookmarked"" in Google: https://support.mozilla.org/en-US/questions/1050380 https://support.mozilla.org/pl/questions/1087781 https://support.mozilla.org/en-US/questions/892162 http://forums.mozillazine.org/viewtopic.php?f=38&t=689845  I also tried on a default profile without add-ons (except Ad-Block), but no success.",2016-02-14T17:54:44Z,VERIFIED,Firefox,P3,FIXED,major,True,BR_1248268_SRC,"1248268 Unable to disable ""Recently bookmarked"" All Bookmarks & History 48 Branch 2016-02-14T17:54:44Z nan nan Created attachment 8719295 Firefox Nightly 47_0a1 Recently Bookmarked.png  User Agent: Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0 Build ID: 20160214030236  Steps to reproduce:  I did not do anything particular, my Nightly 47.0a1 just self-updated just right now and I just accepted to restart the browser to apply the updates.    Actual results:  After the browser restarted, I noticed that ""Recently bookmarked"" thing with several recently bookmarked bookmarks appeared in my bookmarks, occupying the top slots and wasting space.    Expected results:  The way to disable this thing as I don't need this.  I use Firefox few years already and never in my life have seen this thing before, until now, but the posts on Google shows it appeared in 2008 already, so I guess there has been already a way to disable it before and I had it disabled all the time until the newest Nightly appeared and somehow reactivated it (without my permission). But how to disable it again ?  I tried to disable it, but it seems that you can not turn this off, as I searched Google and most of the solutions were to delete it by clicking on it and selecting ""delete"" or by going to Library by clicking on ""Show all bookmarks"" or Ctrl + Shift + B and deleting ""Recently bookmarked"" folder but this does not work in the both cases - when I click on it, there is no ""delete"" option as there is when clicking on regular bookmarks, and in the second case there is no ""Recently bookmarked"" folder in Library.   There are the links I read after typing ""firefox delete recently bookmarked"" in Google: https://support.mozilla.org/en-US/questions/1050380 https://support.mozilla.org/pl/questions/1087781 https://support.mozilla.org/en-US/questions/892162 http://forums.mozillazine.org/viewtopic.php?f=38&t=689845  I also tried on a default profile without add-ons (except Ad-Block), but no success. 2016-02-14T17:54:44Z VERIFIED Firefox P3 FIXED major True BR_1248268_SRC"
1257087,Middle mouse click on history item would not open,Unspecified,Bookmarks & History,48 Branch,2016-03-16T05:13:47Z,,,[Tracking Requested - why for this release]: regression   Reproducible: always  Steps to reproduce: 1. Open hamburger menu 2. Click History icon 3. Middle mouse click on history item  Actual results: Nothing happens  Expected results: The history item should be opened in new tab,2016-03-16T05:13:47Z,VERIFIED,Firefox,P2,FIXED,normal,True,BR_1257087_SRC,1257087 Middle mouse click on history item would not open Unspecified Bookmarks & History 48 Branch 2016-03-16T05:13:47Z nan nan [Tracking Requested - why for this release]: regression   Reproducible: always  Steps to reproduce: 1. Open hamburger menu 2. Click History icon 3. Middle mouse click on history item  Actual results: Nothing happens  Expected results: The history item should be opened in new tab 2016-03-16T05:13:47Z VERIFIED Firefox P2 FIXED normal True BR_1257087_SRC
1264988,Scrollbar appears for a moment in the new Awesomebar Resultlist,All,Address Bar,48 Branch,2016-04-15T15:17:33Z,[fxsearch] [photon-performance],,"Created attachment 8741829 Bug.mov  User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:48.0) Gecko/20100101 Firefox/48.0 Build ID: 20160415030231  Steps to reproduce:  Firefox Nightly 48.0a1 (2016-04-15) Mac OS 10.11.4  STR:  1.) type something into the Location Bar, so that only one item is to see in the Resultlist 2.) Delete some letters quickly   Actual results:  The scrolbar appears for a moment.   Expected results:  The scrollbar should not appear.",2016-04-15T15:17:33Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1264988_SRC,"1264988 Scrollbar appears for a moment in the new Awesomebar Resultlist All Address Bar 48 Branch 2016-04-15T15:17:33Z [fxsearch] [photon-performance] nan Created attachment 8741829 Bug.mov  User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:48.0) Gecko/20100101 Firefox/48.0 Build ID: 20160415030231  Steps to reproduce:  Firefox Nightly 48.0a1 (2016-04-15) Mac OS 10.11.4  STR:  1.) type something into the Location Bar, so that only one item is to see in the Resultlist 2.) Delete some letters quickly   Actual results:  The scrolbar appears for a moment.   Expected results:  The scrollbar should not appear. 2016-04-15T15:17:33Z VERIFIED Firefox P1 FIXED normal True BR_1264988_SRC"
1267480,Intermittent browser/components/preferences/in-content/tests/browser_security.jsThis test exceeded the timeout threshold. It should be rewritten or split up.,Unspecified,Preferences,48 Branch,2016-04-25T23:58:35Z,[stockwell fixed],,https://treeherder.mozilla.org/logviewer.html#?job_id=26564567&repo=mozilla-inbound,2016-04-25T23:58:35Z,RESOLVED,Firefox,P3,FIXED,normal,True,BR_1267480_SRC,1267480 Intermittent browser/components/preferences/in-content/tests/browser_security.jsThis test exceeded the timeout threshold. It should be rewritten or split up. Unspecified Preferences 48 Branch 2016-04-25T23:58:35Z [stockwell fixed] nan https://treeherder.mozilla.org/logviewer.html#?job_id=26564567&repo=mozilla-inbound 2016-04-25T23:58:35Z RESOLVED Firefox P3 FIXED normal True BR_1267480_SRC
1267501,New Private Browsing start-page overflows off the *left side of the window* (making content unscrollable) for small window sizes,Unspecified,Private Browsing,48 Branch,2016-04-26T01:12:11Z,[fxprivacy],,"STR:  1. Open a new private browsing window.  2. Resize the window to be skinny, say 300-400px wide.  3. Try to scroll around horizontally to read the page's contents (using the scrollbars).  ACTUAL RESULTS: - If you scroll all the way to the left, you'll see that the page's contents overflow off the left side of the viewport, to the extent that they're unscrollable and hence unreadable. - If you scroll all the way to the right, you'll see that the page's background-color ends abruptly, and some text protrudes past that.   EXPECTED RESULTS: * Contents should be scrollable/readable. * No awkward background-color-ending in the region of the viewport that is scrollable.",2016-04-26T01:12:11Z,RESOLVED,Firefox,P1,FIXED,normal,True,BR_1267501_SRC,"1267501 New Private Browsing start-page overflows off the *left side of the window* (making content unscrollable) for small window sizes Unspecified Private Browsing 48 Branch 2016-04-26T01:12:11Z [fxprivacy] nan STR:  1. Open a new private browsing window.  2. Resize the window to be skinny, say 300-400px wide.  3. Try to scroll around horizontally to read the page's contents (using the scrollbars).  ACTUAL RESULTS: - If you scroll all the way to the left, you'll see that the page's contents overflow off the left side of the viewport, to the extent that they're unscrollable and hence unreadable. - If you scroll all the way to the right, you'll see that the page's background-color ends abruptly, and some text protrudes past that.   EXPECTED RESULTS: * Contents should be scrollable/readable. * No awkward background-color-ending in the region of the viewport that is scrollable. 2016-04-26T01:12:11Z RESOLVED Firefox P1 FIXED normal True BR_1267501_SRC"
1269348,Show last sync date tooltip on Synced Tabs sidebar device names,Unspecified,Sync,49 Branch,2016-05-02T14:11:05Z,,[testday-20160722],Created attachment 8747709 synced-tabs-last-sync-date.png  Currently we repeat the device name as a tooltip instead of showing the last sync time. Is it available? Let's use it here.,2016-05-02T14:11:05Z,VERIFIED,Firefox,P2,FIXED,normal,True,BR_1269348_SRC,1269348 Show last sync date tooltip on Synced Tabs sidebar device names Unspecified Sync 49 Branch 2016-05-02T14:11:05Z nan [testday-20160722] Created attachment 8747709 synced-tabs-last-sync-date.png  Currently we repeat the device name as a tooltip instead of showing the last sync time. Is it available? Let's use it here. 2016-05-02T14:11:05Z VERIFIED Firefox P2 FIXED normal True BR_1269348_SRC
1269485,"New Private Browsing start-page has white/gray-text-on-white-background, in overflowed area off the right side of the window",Unspecified,Private Browsing,48 Branch,2016-05-02T21:06:36Z,[fxprivacy],,"STR:  1. Open a private browsing window.   2. Make your window skinny enough that some content overflows off of the right side (so that you can scroll horizontally).  (It may help if you first do full-page-zoom so that content overflows in a more extreme way.)   3. Scroll the page to the right, horizontally.  ACTUAL RESULTS: The region of the page that you scroll into view has a *white background*.  So, you end up with white/gray text on a white background, which is hard to read (and looks pretty broken).  EXPECTED RESULTS: Page background should be consistently the same color, even if some content overflows.",2016-05-02T21:06:36Z,VERIFIED,Firefox,P1,FIXED,normal,True,BR_1269485_SRC,"1269485 New Private Browsing start-page has white/gray-text-on-white-background, in overflowed area off the right side of the window Unspecified Private Browsing 48 Branch 2016-05-02T21:06:36Z [fxprivacy] nan STR:  1. Open a private browsing window.   2. Make your window skinny enough that some content overflows off of the right side (so that you can scroll horizontally).  (It may help if you first do full-page-zoom so that content overflows in a more extreme way.)   3. Scroll the page to the right, horizontally.  ACTUAL RESULTS: The region of the page that you scroll into view has a *white background*.  So, you end up with white/gray text on a white background, which is hard to read (and looks pretty broken).  EXPECTED RESULTS: Page background should be consistently the same color, even if some content overflows. 2016-05-02T21:06:36Z VERIFIED Firefox P1 FIXED normal True BR_1269485_SRC"
1270274,"Intermittent browser_share.jsuncaught exception - Error: operation not possible on dead CPOW atTest timed outFound a tabSocialUI is not enabled - Got true, expected false",Unspecified,SocialAPI,49 Branch,2016-05-04T20:55:19Z,,,https://treeherder.mozilla.org/logviewer.html#?job_id=27206317&repo=mozilla-inbound,2016-05-04T20:55:19Z,RESOLVED,Firefox,P3,FIXED,normal,True,BR_1270274_SRC,"1270274 Intermittent browser_share.jsuncaught exception - Error: operation not possible on dead CPOW atTest timed outFound a tabSocialUI is not enabled - Got true, expected false Unspecified SocialAPI 49 Branch 2016-05-04T20:55:19Z nan nan https://treeherder.mozilla.org/logviewer.html#?job_id=27206317&repo=mozilla-inbound 2016-05-04T20:55:19Z RESOLVED Firefox P3 FIXED normal True BR_1270274_SRC"
