Feature_Number,Feature_Shortname,Firefox_Version,Firefox_Feature,Feature_Description,Reference,feat_name,feat_desc
1,new_awesome_bar,48 Branch + 50 Branch,New Awesome Bar,"The Firefox address bar displays a page's web address (URL). We call it the Awesome Bar because it remembers the pages you’ve visited before and also allows you to search and navigate the web. The more you use it, the better it gets.

Just start typing in the address bar and the autocomplete drop-down will show matching web pages from your browsing history, open tabs, sync'ed web pages, as well as pages you've bookmarked or tagged. Matched terms are highlighted, making the list of results easy to scan. Icons will indicate whether a matching result is an open tab or a bookmark.",https://support.mozilla.org/en-US/kb/awesome-bar-search-firefox-bookmarks-history-tabs,new_awesome_bar,"1 new_awesome_bar 48 Branch + 50 Branch New Awesome Bar The Firefox address bar displays a page's web address (URL). We call it the Awesome Bar because it remembers the pages you’ve visited before and also allows you to search and navigate the web. The more you use it, the better it gets.

Just start typing in the address bar and the autocomplete drop-down will show matching web pages from your browsing history, open tabs, sync'ed web pages, as well as pages you've bookmarked or tagged. Matched terms are highlighted, making the list of results easy to scan. Icons will indicate whether a matching result is an open tab or a bookmark. https://support.mozilla.org/en-US/kb/awesome-bar-search-firefox-bookmarks-history-tabs new_awesome_bar"
2,windows_child_mode,48 Branch,Windows Child Mode,"Child mode is a feature of Windows that allows a parent (administrator) to set up a child account in order to monitor internet activity. It does so by using an SSL certificate that allows the operating system to spy or “MiTM” the child’s connections. While this helps the parent keep track of the child’s activity, it presents a fundamental problem for the way Firefox works.

Unlike other browsers, Firefox does not use the system’s SSL certificates to verify connections, but instead, relies on its own certificate store. Since this Microsoft certificate is not present here, Firefox will see these connections as untrusted, and the user of the child account will not be able to view secure sites. The solution is to import this Microsoft certificate only when Firefox detects that it is running in child mode.

The Windows Child Mode compatibility feature also includes modifications on Bookmarks and History control, Add-Ons control, WebGL Compatibility (based on WebGL library for graphic/image renderization) and PDF files compatibility (read, save/download, print, navigate).",https://wiki.mozilla.org/QA/Windows_Child_Mode,windows_child_mode,"2 windows_child_mode 48 Branch Windows Child Mode Child mode is a feature of Windows that allows a parent (administrator) to set up a child account in order to monitor internet activity. It does so by using an SSL certificate that allows the operating system to spy or “MiTM” the child’s connections. While this helps the parent keep track of the child’s activity, it presents a fundamental problem for the way Firefox works.

Unlike other browsers, Firefox does not use the system’s SSL certificates to verify connections, but instead, relies on its own certificate store. Since this Microsoft certificate is not present here, Firefox will see these connections as untrusted, and the user of the child account will not be able to view secure sites. The solution is to import this Microsoft certificate only when Firefox detects that it is running in child mode.

The Windows Child Mode compatibility feature also includes modifications on Bookmarks and History control, Add-Ons control, WebGL Compatibility (based on WebGL library for graphic/image renderization) and PDF files compatibility (read, save/download, print, navigate). https://wiki.mozilla.org/QA/Windows_Child_Mode windows_child_mode"
3,apz_async_scrolling,48 Branch,APZ - Async Scrolling,"The Async Pan/Zoom module (APZ) is a platform component that allows panning and zooming to be performed asynchronously (on the compositor thread rather than the main thread).

For zooming, this means that the APZ reacts to a pinch gesture immediately and instructs the compositor to scale the already-rendered layers at whatever resolution they have been rendered (so e.g. text becomes more blurry as you zoom in), and meanwhile sends a request to Gecko to re-render the content at a new resolution (with sharp text and all).

For panning, this means that the APZ asks Gecko to render a portion of a scrollable layer, called the ""display port"", that's larger than the visible portion. It then reacts to a pan gesture immediately, asking the compositor to render a different portion of the displayport (or, if the displayport is not large enough to cover the new visible region, then nothing in the portions it doesn't cover - this is called checkerboarding), and eanwhile sends a request to Gecko to render a new displayport. (The displayport can also be used when zooming out causes more content of a scrollable layer to be shown than before.)",https://wiki.mozilla.org/Platform/GFX/APZ,apz_async_scrolling,"3 apz_async_scrolling 48 Branch APZ - Async Scrolling The Async Pan/Zoom module (APZ) is a platform component that allows panning and zooming to be performed asynchronously (on the compositor thread rather than the main thread).

For zooming, this means that the APZ reacts to a pinch gesture immediately and instructs the compositor to scale the already-rendered layers at whatever resolution they have been rendered (so e.g. text becomes more blurry as you zoom in), and meanwhile sends a request to Gecko to re-render the content at a new resolution (with sharp text and all).

For panning, this means that the APZ asks Gecko to render a portion of a scrollable layer, called the ""display port"", that's larger than the visible portion. It then reacts to a pan gesture immediately, asking the compositor to render a different portion of the displayport (or, if the displayport is not large enough to cover the new visible region, then nothing in the portions it doesn't cover - this is called checkerboarding), and eanwhile sends a request to Gecko to render a new displayport. (The displayport can also be used when zooming out causes more content of a scrollable layer to be shown than before.) https://wiki.mozilla.org/Platform/GFX/APZ apz_async_scrolling"
4,browser_customization,49 Branch,Browser Customization,". Install and Customize Firefox Themes. 
. Customize Firefox Toolbar or restore it to default interface.",https://support.mozilla.org/en-US/kb/use-themes-change-look-of-firefox,browser_customization,"4 browser_customization 49 Branch Browser Customization . Install and Customize Firefox Themes. 
. Customize Firefox Toolbar or restore it to default interface. https://support.mozilla.org/en-US/kb/use-themes-change-look-of-firefox browser_customization"
5,pdf_viewer,49 Branch,PDF Viewer,"Zoom in, Zoom out, Print and Save PDF Files.",https://support.mozilla.org/en-US/kb/view-pdf-files-firefox,pdf_viewer,"5 pdf_viewer 49 Branch PDF Viewer Zoom in, Zoom out, Print and Save PDF Files. https://support.mozilla.org/en-US/kb/view-pdf-files-firefox pdf_viewer"
6,context_menu,49 Branch,Context Menu,"The Context Menu is the menu that appears when the user right-clicks the browser page. 

The options that appear can be edited in the Firefox Browser.

The following context menu options are tested for this feature: 
. ""refresh"": reloads the page
. ""bookmark this page"": bookmarks the current page
. ""edit this bookmark"" button replaces ""bookmark this page"" context menu option on an already bookmarked page.
. ""edit this bookmark"" context menu option opens ""edit this bookmark"" pop-up window.
. The available context menu options are differentiated properly from the unavailable one.
. ""back"" context menu option makes the current tab to go back one page.
. ""forward"" context menu option makes the current tab to go forward one page.
. ""save page as"" context menu option saves the current page.
. ""select all"" context menu option selects the entire content of the page.
. ""view page source"" context menu option displays the source code of the page.
. ""view background image"" context menu option opens the background image of the page.
. ""view page info"" context menu option opens the ""page info"" pop-up window.
. ""inspect element"" context menu option opens the ""developer tools"" window.
. ""copy"" context menu option transfers a copy of the selected field on the clipboard.
. ""search [default search engine] for"" context menu option opens a google search for selected field.
. ""view selection source"" context menu option displays the source code of the selection.
. ""open link in a new tab"" context menu option opens the link in a new Firefox tab.
. ""open link in a new window"" context menu option opens the link in a new Firefox window.
. ""open link in a new private window"" context menu option opens the link in a new Firefox private window.
. ""bookmark this link"" context menu option opens the ""new bookmark"" pop-up window.
. ""save link as"" context menu option saves the current link.
. ""copy link location"" context menu option transfers in the clipboard a copy of the link location (URL).
. ""view image"" context menu option opens the image.
. ""copy image"" context menu option transfers a copy of the image in the clipboard.
. ""copy image location"" context menu option transfers in the clipboard a copy of the image location (URL).
. ""save image as"" context menu option opens the ""save image"" pop-up window.
. ""email image"" context menu option opens the default email client and inserts the image location (URL) in the body of a new email.
. ""set as desktop background"" context menu option opens ""set desktop background"" window.
. ""play"" context menu option starts playing back a paused video file.
. ""pause"" context menu option stops rendering a playing video file.",https://www.paessler.com/manuals/paessler_site_inspector/contextmenuforfirefox,context_menu,"6 context_menu 49 Branch Context Menu The Context Menu is the menu that appears when the user right-clicks the browser page. 

The options that appear can be edited in the Firefox Browser.

The following context menu options are tested for this feature: 
. ""refresh"": reloads the page
. ""bookmark this page"": bookmarks the current page
. ""edit this bookmark"" button replaces ""bookmark this page"" context menu option on an already bookmarked page.
. ""edit this bookmark"" context menu option opens ""edit this bookmark"" pop-up window.
. The available context menu options are differentiated properly from the unavailable one.
. ""back"" context menu option makes the current tab to go back one page.
. ""forward"" context menu option makes the current tab to go forward one page.
. ""save page as"" context menu option saves the current page.
. ""select all"" context menu option selects the entire content of the page.
. ""view page source"" context menu option displays the source code of the page.
. ""view background image"" context menu option opens the background image of the page.
. ""view page info"" context menu option opens the ""page info"" pop-up window.
. ""inspect element"" context menu option opens the ""developer tools"" window.
. ""copy"" context menu option transfers a copy of the selected field on the clipboard.
. ""search [default search engine] for"" context menu option opens a google search for selected field.
. ""view selection source"" context menu option displays the source code of the selection.
. ""open link in a new tab"" context menu option opens the link in a new Firefox tab.
. ""open link in a new window"" context menu option opens the link in a new Firefox window.
. ""open link in a new private window"" context menu option opens the link in a new Firefox private window.
. ""bookmark this link"" context menu option opens the ""new bookmark"" pop-up window.
. ""save link as"" context menu option saves the current link.
. ""copy link location"" context menu option transfers in the clipboard a copy of the link location (URL).
. ""view image"" context menu option opens the image.
. ""copy image"" context menu option transfers a copy of the image in the clipboard.
. ""copy image location"" context menu option transfers in the clipboard a copy of the image location (URL).
. ""save image as"" context menu option opens the ""save image"" pop-up window.
. ""email image"" context menu option opens the default email client and inserts the image location (URL) in the body of a new email.
. ""set as desktop background"" context menu option opens ""set desktop background"" window.
. ""play"" context menu option starts playing back a paused video file.
. ""pause"" context menu option stops rendering a playing video file. https://www.paessler.com/manuals/paessler_site_inspector/contextmenuforfirefox context_menu"
7,w10_comp,49 Branch,Windows 10 Compatibility,". Users can browse through different sites, 
. User's can switch between windows screen with Alt+Tab
. Firefox can be dragged and dropped either on right or left side of the screen
. Image's source URL can be dragged and dropped onto desktop
. Firefox can be pinned/unpinned from taskbar
. Firefox can Open new tab from taskbar",https://support.mozilla.org/en-US/kb/how-download-and-install-firefox-windows,w10_comp,"7 w10_comp 49 Branch Windows 10 Compatibility . Users can browse through different sites, 
. User's can switch between windows screen with Alt+Tab
. Firefox can be dragged and dropped either on right or left side of the screen
. Image's source URL can be dragged and dropped onto desktop
. Firefox can be pinned/unpinned from taskbar
. Firefox can Open new tab from taskbar https://support.mozilla.org/en-US/kb/how-download-and-install-firefox-windows w10_comp"
8,tts_in_desktop,49 Branch,Text to Speech on Desktop,Extension of Firefox to read out loud the HTML page content using a synthetized voice.,https://addons.mozilla.org/en-US/firefox/addon/native-text-to-speech-tts/,tts_in_desktop,8 tts_in_desktop 49 Branch Text to Speech on Desktop Extension of Firefox to read out loud the HTML page content using a synthetized voice. https://addons.mozilla.org/en-US/firefox/addon/native-text-to-speech-tts/ tts_in_desktop
9,tts_in_rm,49 Branch,Text to Speech in Reader Mode,Extension of Firefox to read out loud the content shown in the Reader Mode of a HTML page by the Firefox Browser.,https://support.mozilla.org/en-US/kb/firefox-reader-view-clutter-free-web-pages,tts_in_rm,9 tts_in_rm 49 Branch Text to Speech in Reader Mode Extension of Firefox to read out loud the content shown in the Reader Mode of a HTML page by the Firefox Browser. https://support.mozilla.org/en-US/kb/firefox-reader-view-clutter-free-web-pages tts_in_rm
10,webgl_comp,49 Branch,WebGL Compatibility,"Feature of Firefox implemted based on WebGL library for the rendering of games, animations and graphs in the web browser.",https://pt.wikipedia.org/wiki/WebGL,webgl_comp,"10 webgl_comp 49 Branch WebGL Compatibility Feature of Firefox implemted based on WebGL library for the rendering of games, animations and graphs in the web browser. https://pt.wikipedia.org/wiki/WebGL webgl_comp"
