bug_id,user_id,task_id,created,finish_time,user_ip,link,timeout,project_id,id,answers
1181835,None,1628,2019-02-22T13:30:47.532426,2019-02-22T13:34:43.593370,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/143'/>,None,7,143,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1248267,None,1629,2019-02-22T13:30:47.612225,2019-02-22T13:36:41.537585,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/144'/>,None,7,144,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1248268,None,1630,2019-02-22T13:34:43.629663,2019-02-22T13:37:54.519444,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/145'/>,None,7,145,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1257087,None,1631,2019-02-22T13:36:41.567089,2019-02-22T13:38:58.780731,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/146'/>,None,7,146,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1264988,None,1632,2019-02-22T13:37:54.548454,2019-02-22T13:40:18.103423,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/147'/>,None,7,147,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1267480,None,1633,2019-02-22T13:38:58.810966,2019-02-22T13:41:47.817573,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/148'/>,None,7,148,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1267501,None,1634,2019-02-22T13:40:18.133683,2019-02-22T13:42:53.731467,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/149'/>,None,7,149,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1269348,None,1635,2019-02-22T13:41:47.846247,2019-02-22T13:44:55.739746,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/150'/>,None,7,150,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1269485,None,1636,2019-02-22T13:42:53.761766,2019-02-22T13:46:19.958552,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/151'/>,None,7,151,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1270274,None,1637,2019-02-22T13:44:55.767086,2019-02-22T13:47:38.865975,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/152'/>,None,7,152,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1270983,None,1638,2019-02-22T13:46:19.988499,2019-02-22T13:49:08.295890,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/153'/>,None,7,153,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1271607,None,1639,2019-02-22T13:47:38.894141,2019-02-22T13:50:03.099284,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/154'/>,None,7,154,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1271607,2,1639,2019-02-26T17:10:26.545043,2019-02-26T17:14:37.701354,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/221'/>,None,7,221,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1276120,None,1640,2019-02-22T13:49:08.326803,2019-02-22T13:50:49.801310,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/155'/>,None,7,155,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1276120,2,1640,2019-02-26T17:10:26.605618,2019-02-26T17:16:49.802427,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/222'/>,None,7,222,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1277937,None,1641,2019-02-22T13:50:03.131503,2019-02-22T13:52:17.545963,148.58.130.242,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/156'/>,None,7,156,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1277937,2,1641,2019-02-26T17:14:37.734945,2019-02-26T17:20:36.351961,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/223'/>,None,7,223,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
