bug_id,user_id,task_id,created,finish_time,user_ip,link,timeout,project_id,id,answers
1315514,2,1918,2019-03-01T18:33:32.762401,2019-03-01T18:37:32.799841,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/271'/>,None,9,271,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
1316126,2,1919,2019-03-01T18:33:32.813157,2019-03-01T18:41:43.503253,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/272'/>,None,9,272,0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0
1335538,2,1920,2019-03-01T18:37:32.829765,2019-03-01T18:43:31.664575,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/273'/>,None,9,273,1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0
1357458,2,1921,2019-03-01T18:41:43.537357,2019-03-01T18:45:36.020665,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/274'/>,None,9,274,1 0 0 0 1 1 0 1 0 1 1 0 0 1 0 1 0 0 0 0 0
1365887,2,1922,2019-03-01T18:43:31.695575,2019-03-01T18:46:32.045596,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/275'/>,None,9,275,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1408361,2,1923,2019-03-01T18:45:36.051308,2019-03-01T18:48:31.493092,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/276'/>,None,9,276,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
1430603,2,1924,2019-03-01T18:46:32.077115,2019-03-01T18:49:53.160634,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/277'/>,None,9,277,1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
1432915,2,1925,2019-03-01T18:48:31.526481,2019-03-01T18:51:56.416853,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/278'/>,None,9,278,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1449700,2,1926,2019-03-01T18:49:53.194063,2019-03-01T18:53:25.230206,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/279'/>,None,9,279,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
1451475,2,1927,2019-03-01T18:51:56.456132,2019-03-01T18:53:46.954037,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/280'/>,None,9,280,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
